measure,id,date,TTFB,adult_site,aft,avgRun,bytesIn,bytesInDoc,bytesOut,bytesOutDoc,cached,connections,date,docCPUms,docCPUpct,docTime,domContentLoadedEventEnd,domContentLoadedEventStart,domElements,domTime,effectiveBps,effectiveBpsDoc,firstPaint,fixed_viewport,fullyLoaded,fullyLoadedCPUms,fullyLoadedCPUpct,gzip_savings,gzip_total,image_savings,image_total,isResponsive,lastVisualChange,loadEventEnd,loadEventStart,loadTime,minify_savings,minify_total,optimization_checked,pageSpeedVersion,render,requestsDoc,requestsFull,responses_200,responses_404,responses_other,result,run,score_cache,score_cdn,score_combine,score_compress,score_cookies,score_etags,score_gzip,score_keep-alive,score_minify,score_progressive_jpeg,server_count,server_rtt,titleTime
median,150815_0_4NB,1439635333,1442,0,0,null,377768,287539,9417,5131,0,8,1439635303,2734.375,97,2585,0,0,289,0,128230,251565,0,-1,4388,4656.25,70,0,328387,0,47165,-1,4219,0,0,2585,0,264680,1,"1.12",1951,9,14,12,0,1,0,1,66,100,100,100,28,100,100,100,100,-1,5,47,2185,
average,150801_0_4MQ,1438425505,1061.5,0,0,1,371299,326005,9153,5922.5,0,7,1438425453.5,2906.25,100,2863,0,0,270,0,98141.5,207850,0,-1,4927.5,7007.8125,99.5,0,324198,0,45331,-1,3732,0,0,2863,0,264258.5,1,1.12,1673.5,10,13.5,11,0,1.5,0,2,63,100,100,100,31,100,100,100,100,-1,5,47,1832.5,
standardDeviation,150801_0_4MQ,1438425505,242,0,0,null,300,44762,342,1454,0,0,39,1031,0,1007,0,0,0,0,14316,63358,0,0,324,257,0,0,184,0,0,0,417,0,0,1007,0,40,0,0,408,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,432,
median,150801_0_4MQ,1438425505,819,0,0,null,371599,281243,9495,4468,0,7,1438425493,1875,100,1856,0,0,270,0,83825,271208,0,-1,5252,7265.625,99,0,324382,0,45331,-1,3315,0,0,1856,0,264299,1,"1.12",1265,8,14,11,0,2,0,3,63,100,100,100,32,100,100,100,100,-1,5,47,1400,
average,150719_0_37A,1437317128,1030,0,0,3,374572.66666667,284203,9807,5116,0,7.6666666666667,1437317102.6667,2838.5416666667,98,2647,0,0,289,0,86293.333333333,200237,0,-1,5670,5291.6666666667,66.666666666667,0,325244,0,47165,-1,4654.3333333333,0,0,2647,0,264517.66666667,1,1.12,2051,9,14.666666666667,12,0,1.6666666666667,0,2,66,100,100,100,29.333333333333,100,100,100,100,-1,6,45,2131,
standardDeviation,150719_0_37A,1437317128,362,0,0,null,117,61,314,0,0,0,10,905,2,853,0,0,0,0,23913,79025,0,0,1408,946,0,0,77,0,0,0,879,0,0,853,0,84,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1125,
median,150719_0_37A,1437317128,1091,0,0,null,374545,284203,10027,5116,0,8,1437317116,3140.625,99,3002,0,0,289,0,67668,148719,0,-1,6626,5937.5,67,0,325139,0,47165,-1,4997,0,0,3002,0,264413,1,"1.12",2217,9,15,12,0,2,0,3,66,100,100,100,30,100,100,100,100,-1,6,38,2262,
average,150701_0_4R5,1435747077,879,0,0,2,383315,317607.33333333,9955.6666666667,7720.6666666667,0,9.3333333333333,1435747056.6667,2651.0416666667,100,2533.3333333333,0,0,300,0,118094.33333333,193183,0,-1,4261.6666666667,4723.9583333333,73.666666666667,0,320640,0,60322,-1,3786.6666666667,0,0,2533.3333333333,0,260171.33333333,1,1.12,1304,12.666666666667,15,13,0,1,0,2,61,100,100,100,26,100,100,100,100,-1,6,47,1355.6666666667,
standardDeviation,150701_0_4R5,1435747077,263,0,0,null,162,21366,20,233,0,0,8,332,0,343,0,0,0,0,23382,12209,0,0,486,512,4,0,162,0,0,0,448,0,0,343,0,82,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
median,150701_0_4R5,1435747077,751,0,0,null,383136,332519,9984,7886,0,10,1435747056,2750,100,2641,0,0,300,0,119097,175935,0,-1,3968,4796.875,79,0,320461,0,60322,-1,3495,0,0,2641,0,260124,1,"1.12",1175,13,15,13,0,1,0,2,61,100,100,100,26,100,100,100,100,-1,6,46,1244,
average,150615_0_4PC,1434364527,1412,0,0,2,368811,289595,10205.666666667,6303.6666666667,0,8.6666666666667,1434364503,3104.1666666667,95,3214.6666666667,0,0,281.66666666667,0,98051.333333333,165901,0,-1,5312.3333333333,5307.2916666667,71.333333333333,0,319807.33333333,0,46843,-1,5035,0,0,3214.6666666667,0,268595.66666667,1,1.12,2094.3333333333,10.333333333333,14.666666666667,12,0,1.6666666666667,0,2,66,100,100,100,29.333333333333,100,100,100,100,-1,5,50.666666666667,2281.6666666667,
standardDeviation,150615_0_4PC,1434364527,423,0,0,null,112,20239,321,946,0,0,10,376,6,404,0,0,0,0,19764,23644,0,0,995,773,1,0,167,0,0,0,892,0,0,404,0,68,0,0,443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,491,
median,150615_0_4PC,1434364527,2007,0,0,null,368936,275595,10395,6003,0,9,1434364502,3078.125,86,3450,0,0,283,0,84618,190987,0,-1,6367,6031.25,71,0,319855,0,46843,-1,5860,0,0,3450,0,268503,1,"1.12",2661,10,15,12,0,2,0,2,66,100,100,100,30,100,100,100,100,-1,5,54,2703,
