measure,id,date,TTFB,adult_site,aft,avgRun,bytesIn,bytesInDoc,bytesOut,bytesOutDoc,cached,connections,date,docCPUms,docCPUpct,docTime,domContentLoadedEventEnd,domContentLoadedEventStart,domElements,domTime,effectiveBps,effectiveBpsDoc,firstPaint,fixed_viewport,fullyLoaded,fullyLoadedCPUms,fullyLoadedCPUpct,gzip_savings,gzip_total,image_savings,image_total,isResponsive,lastVisualChange,loadEventEnd,loadEventStart,loadTime,minify_savings,minify_total,optimization_checked,pageSpeedVersion,render,requestsDoc,requestsFull,responses_200,responses_404,responses_other,result,run,score_cache,score_cdn,score_combine,score_compress,score_cookies,score_etags,score_gzip,score_keep-alive,score_minify,score_progressive_jpeg,server_count,server_rtt,titleTime
median,121201_0_30V,1354356564,250,0,0,null,289638,204036,8136,3687,0,5,1354327748,0,0,602,0,0,294,0,131176,579647,0,-1,2458,0,0,4464,239607,0,53454,-1,2073,0,0,602,0,202450,1,"1.12",543,6,13,11,0,2,0,2,81,80,100,100,30,100,98,100,100,-1,6,65,397,
average,121115_0_30G,1352974401,248.33333333333,0,0,1,296401.33333333,207518.66666667,7775.6666666667,3274.3333333333,0,2.6666666666667,1352945544,0,0,872.33333333333,0,0,294.33333333333,0,88418.333333333,334752.66666667,0,-1,3630.6666666667,0,0,4464,240962.33333333,0,58677,-1,3513.6666666667,0,0,872.33333333333,0,203651.66666667,1,1.12,792.33333333333,5.3333333333333,12.333333333333,11,0,1.3333333333333,0,2,90,80,100,100,29.333333333333,100,98,100,100,-1,5,57.666666666667,498,
standardDeviation,121115_0_30G,1352974401,11,0,0,null,106,141,288,294,0,0,11,0,0,54,0,0,0,0,8153,27807,0,0,323,0,0,0,15,0,0,0,337,0,0,54,0,56,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,
median,121115_0_30G,1352974401,240,0,0,null,296335,207372,7600,3066,0,3,1352945530,0,0,906,0,0,293,0,96746,311369,0,-1,3303,0,0,4464,240962,0,58677,-1,3185,0,0,906,0,203732,1,"1.12",758,5,12,11,0,1,0,1,90,80,100,100,29,100,98,100,100,-1,5,55,458,
average,121101_0_2ZQ,1351764709,265.66666666667,0,0,1,295817.33333333,207036.33333333,7701,3259,0,4.3333333333333,1351739428,0,0,691.66666666667,0,0,292.66666666667,0,108697.33333333,488807.66666667,0,-1,3053.6666666667,0,0,4464,240379.33333333,0,58677,-1,2692,0,0,691.66666666667,0,203347,1,1.12,535.66666666667,5.3333333333333,12.333333333333,11,0,1.3333333333333,0,2,90,80,100,100,29.333333333333,100,98,100,100,-1,6,74.333333333333,418.66666666667,
standardDeviation,121101_0_2ZQ,1351764709,8,0,0,null,473,110,271,305,0,0,8,0,0,23,0,0,0,0,16205,38121,0,0,455,0,0,0,566,0,0,0,492,0,0,23,0,582,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
median,121101_0_2ZQ,1351764709,258,0,0,null,296174,206981,7499,3043,0,4,1351739418,0,0,701,0,0,292,0,125020,467225,0,-1,2627,0,0,4464,240802,0,58677,-1,2339,0,0,701,0,203759,1,"1.12",525,5,12,11,0,1,0,1,90,80,100,100,29,100,98,100,100,-1,6,75,409,
average,121015_0_2YG,1350294288,303.66666666667,0,0,3,509561,266332.66666667,10550.333333333,4543.3333333333,0,6,1350269027.6667,0,0,1403,0,0,303.66666666667,0,110442.33333333,271803.66666667,0,-1,5244.3333333333,0,0,4464,248072.33333333,34141.666666667,263552,-1,7020.3333333333,0,0,1403,0,210707.66666667,1,1.12,635.33333333333,7.3333333333333,17,15.666666666667,0,1.3333333333333,0,2,85.666666666667,85.666666666667,100,85.666666666667,21,100,98,100,100,-1,6,82,464.66666666667,
standardDeviation,121015_0_2YG,1350294288,54,0,0,null,93699,155,896,294,0,0,10,0,0,383,0,0,0,0,18982,80209,0,0,1970,0,0,0,323,5724,93086,0,1613,0,0,383,0,311,0,0,95,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,72,
median,121015_0_2YG,1350294288,381,0,0,null,642071,266549,11818,4960,0,6,1350269040,0,0,1165,0,0,305,0,83974,339985,0,-1,8027,0,0,4464,248377,42237,395196,-1,9298,0,0,1165,0,210928,1,"1.12",769,8,19,17,0,2,0,3,87,87,100,89,21,100,98,100,100,-1,6,97,552,
average,121001_0_2XY,1349085015,294.33333333333,0,0,1,292749.33333333,221561,7360.3333333333,3479,0,3.6666666666667,1349059791.3333,0,0,1416,0,0,292,0,94381,205793.33333333,0,-1,3406.6666666667,0,0,0,231616.33333333,0,58677,-1,3341,0,0,1416,0,200624,1,1.12,746,6,12,11,0,1,0,2,81,80,100,100,29,100,100,100,100,-1,5,96,579.66666666667,
standardDeviation,121001_0_2XY,1349085015,25,0,0,null,343,49,5,1,0,0,11,0,0,223,0,0,0,0,5443,39084,0,0,190,0,0,0,343,0,0,0,129,0,0,223,0,314,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,102,
median,121001_0_2XY,1349085015,329,0,0,null,293045,221630,7353,3480,0,4,1349059776,0,0,1337,0,0,292,0,94561,219871,0,-1,3428,0,0,0,231912,0,58677,-1,3318,0,0,1337,0,200859,1,"1.12",810,6,12,11,0,1,0,1,81,80,100,100,29,100,100,100,100,-1,5,142,436,
average,120915_0_2WB,1347703238,241,0,0,3,215911.66666667,181931.33333333,4324.6666666667,3280.6666666667,0,3.6666666666667,1347677985,0,0,679.33333333333,0,0,247.66666666667,0,149271,418744,0,-1,1687.6666666667,0,0,0,178880,0,18760.333333333,-1,602,0,0,679.33333333333,0,148241,1,1.12,495.33333333333,5.3333333333333,7.3333333333333,7,0,0.33333333333333,0,2,71,83,100,100,29,100,100,100,100,-1,0,0,392.33333333333,
standardDeviation,120915_0_2WB,1347703238,9,0,0,null,16689,18244,293,293,0,0,4,0,0,72,0,0,0,0,3643,25130,0,0,114,0,0,0,17575,0,13559,0,6,0,0,72,0,17489,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,
median,120915_0_2WB,1347703238,237,0,0,null,234705,198376,4740,3696,0,4,1347677991,0,0,724,0,0,249,0,153301,407342,0,-1,1768,0,0,0,196619,0,9172,-1,611,0,0,724,0,165874,1,"1.12",477,6,8,7,0,1,0,3,71,83,100,100,31,100,100,100,100,-1,0,0,383,
average,120901_0_2W0,1346493860,249,0,0,2,464487,417546,6684,4709,0,4,1346468521,0,0,3261,0,0,270,0,136373,138627,0,-1,3655,0,0,0,226768,0,235611,-1,3504,0,0,3261,0,198003,1,1.12,456,8,11,10,0,1,0,2,50,77,100,100,31,100,100,100,100,-1,0,0,402,
standardDeviation,120901_0_2W0,1346493860,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
median,120901_0_2W0,1346493860,249,0,0,null,464487,417546,6684,4709,0,4,1346468521,0,0,3261,0,0,270,0,136373,138627,0,-1,3655,0,0,0,226768,0,235611,-1,3504,0,0,3261,0,198003,1,"1.12",456,8,11,10,0,1,0,2,50,77,100,100,31,100,100,100,100,-1,0,0,402,
average,120815_0_2TS,1345024839,235.66666666667,0,0,3,248925.66666667,215640,4505.6666666667,3741,0,4.3333333333333,1344999624.6667,0,0,1130,0,0,259.66666666667,0,149002.33333333,248028,0,-1,1903,0,0,0,171854.66666667,18713,67428.666666667,-1,1168.3333333333,0,0,1130,0,142297.33333333,1,1.12,528,6,8,7.3333333333333,0,0.66666666666667,0,2,17.666666666667,95,100,70.333333333333,25,100,100,100,100,-1,0,0,409.33333333333,
standardDeviation,120815_0_2TS,1345024839,7,0,0,null,37850,30866,197,0,0,0,6,0,0,223,0,0,19,0,5417,30704,0,0,230,0,0,0,35774,0,13559,0,211,0,0,223,0,35770,0,0,13,0,0,0,0,0,0,0,5,7,0,6,0,0,0,0,0,0,0,0,25,
median,120815_0_2TS,1345024839,232,0,0,null,284770,238558,4785,3741,0,5,1344999632,0,0,1144,0,0,287,0,156639,261576,0,-1,2050,0,0,0,206196,18713,77017,-1,1199,0,0,1144,0,176631,1,"1.12",510,6,8,8,0,0,0,3,25,85,100,75,25,100,100,100,100,-1,0,0,399,
average,120801_0_2S8,1343815367,282.66666666667,0,0,2,285797.33333333,245153.66666667,7172.6666666667,4856.6666666667,0,4.3333333333333,1343790090.3333,0,0,2625.6666666667,0,0,269.33333333333,0,100626.33333333,116350.33333333,0,-1,3191,0,0,0,199621.33333333,10959,83713.666666667,-1,3023.3333333333,0,0,2625.6666666667,167221.33333333,168128,1,1.12,794.33333333333,9.3333333333333,13.666666666667,10.333333333333,0,3.3333333333333,0,2,29.333333333333,87.333333333333,100,86,31,100,100,100,0,-1,0,0,758,
standardDeviation,120801_0_2S8,1343815367,56,0,0,null,24544,16366,257,825,0,0,7,0,0,760,0,0,0,0,12366,37517,0,0,582,0,0,0,14267,0,9776,0,276,0,0,760,13928,14286,0,0,248,1,0,2,0,2,0,0,9,8,0,1,5,0,0,0,0,0,0,0,282,
median,120801_0_2S8,1343815367,363,0,0,null,303013,256586,6809,5145,0,4,1343790090,0,0,3148,0,0,268,0,94132,92131,0,-1,3582,0,0,0,209669,10959,90627,-1,3256,0,0,3148,177070,178230,1,"1.12",1146,10,13,12,0,1,0,2,36,81,100,87,26,100,100,100,0,-1,0,0,1158,
average,120715_0_2SY,1342346834,226.33333333333,0,0,2,220515,184685.66666667,3131.6666666667,2247.3333333333,0,3.3333333333333,1342321561.6667,0,0,654.33333333333,0,0,247.66666666667,0,153274.66666667,431616.66666667,0,-1,1665,0,0,0,184620.66666667,0,18405.333333333,-1,695,0,0,654.33333333333,155732.33333333,156518.33333333,1,1.12,434.66666666667,4.3333333333333,6.3333333333333,6,0,0.33333333333333,0,2,40,80,100,100,33.666666666667,100,100,100,0,-1,0,0,374,
standardDeviation,120715_0_2SY,1342346834,2,0,0,null,2838,885,266,257,0,0,6,0,0,6,0,0,0,0,342,7513,0,0,16,0,0,0,1163,0,13526,0,0,0,0,6,1167,1167,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
median,120715_0_2SY,1342346834,230,0,0,null,219024,184066,2943,2065,0,3,1342321562,0,0,653,0,0,247,0,153485,435144,0,-1,1657,0,0,0,183172,0,8841,-1,695,0,0,653,154302,155088,1,"1.12",432,4,6,6,0,0,0,2,40,80,100,100,33,100,100,100,0,-1,0,0,395,
average,120701_0_2QX,1341137150,231,0,0,3,203270.66666667,162794.33333333,4332.6666666667,2795.3333333333,0,4.3333333333333,1341111912,0,0,603.66666666667,0,0,253.66666666667,0,144316,436351.66666667,0,-1,1638,0,0,0,164037,0,37865,-1,623.33333333333,0,0,603.66666666667,133943.33333333,134729.33333333,1,1.12,455.33333333333,5.3333333333333,8.6666666666667,7,0,1.6666666666667,0,2,33,83,100,100,33,100,100,100,0,-1,0,0,381,
standardDeviation,120701_0_2QX,1341137150,4,0,0,null,25688,21683,823,257,0,0,6,0,0,42,0,0,9,0,9325,20624,0,0,133,0,0,0,25744,0,0,0,29,0,0,42,25750,25750,0,0,5,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,
median,120701_0_2QX,1341137150,236,0,0,null,191820,154246,4057,3160,0,5,1341111920,0,0,574,0,0,248,0,151397,456349,0,-1,1503,0,0,0,152337,0,37865,-1,608,0,0,574,122188,122974,1,"1.12",448,6,8,7,0,1,0,3,33,83,100,100,31,100,100,100,0,-1,0,0,379,
average,120615_6_68RG,1339787828,288.66666666667,0,0,3,232178.66666667,187126.66666667,3704,2826,0,3,1339762611.6667,0,0,968.66666666667,0,0,245,0,143276.66666667,275474.66666667,0,-1,1906,0,0,0,183620,0,38387.333333333,-1,807,0,0,968.66666666667,153617.33333333,154401.33333333,1,1.12,715,5.6666666666667,7.6666666666667,7.6666666666667,0,0,0,2,34,75,100,100,34,100,100,100,0,-1,0,0,598,
standardDeviation,120615_6_68RG,1339787828,18,0,0,null,20576,21600,154,154,0,0,7,0,0,84,0,0,0,0,5627,9850,0,0,91,0,0,0,13879,0,11719,0,31,0,0,84,13893,13893,0,0,21,0,0,0,0,0,0,0,4,5,0,0,4,0,0,0,0,0,0,0,39,
median,120615_6_68RG,1339787828,315,0,0,null,247724,201229,3813,2935,0,2,1339762621,0,0,1013,0,0,245,0,148604,288293,0,-1,1982,0,0,0,193162,0,52995,-1,776,0,0,1013,163224,164008,1,"1.12",689,6,8,8,0,0,0,3,37,71,100,100,37,100,100,100,0,-1,0,0,574,
average,120601_0_e211d06a9c70add6f71d597e2109a8e5,1338594225,213.66666666667,0,0,3,238653.66666667,190895.33333333,4795,2285,0,2,1338569008.3333,0,0,885.66666666667,0,0,271,0,133160,300373.33333333,0,-1,2143.3333333333,0,0,0,189650.66666667,0,47749.666666667,-1,708,0,0,885.66666666667,162627,163513,1,1.12,589.66666666667,4.6666666666667,9.6666666666667,7.3333333333333,0,2.3333333333333,0,2,37.333333333333,72.333333333333,100,100,41,100,100,100,0,-1,0,0,499.66666666667,
standardDeviation,120601_0_e211d06a9c70add6f71d597e2109a8e5,1338594225,24,0,0,null,11822,7284,154,154,0,0,7,0,0,145,0,0,0,0,30146,65217,0,0,586,0,0,0,6028,0,7225,0,67,0,0,145,5884,6027,0,0,28,0,0,1,0,0,0,0,3,5,0,0,2,0,0,0,0,0,0,0,22,
median,120601_0_e211d06a9c70add6f71d597e2109a8e5,1338594225,222,0,0,null,239308,196044,4904,2394,0,2,1338569018,0,0,878,0,0,271,0,156206,298847,0,-1,1754,0,0,0,185386,0,52664,-1,623,0,0,878,158466,159251,1,"1.12",552,5,10,7,0,3,0,3,42,66,100,100,45,100,100,100,0,-1,0,0,489,
average,120515_0_2J1,1337077136,235.66666666667,0,0,3,230832.33333333,194490.33333333,3816,2394,0,3,1337051922.3333,0,0,842,0,0,272,0,153191.33333333,320857.33333333,0,-1,1751.3333333333,0,0,0,181895.33333333,0,33535.333333333,-1,567.66666666667,0,0,842,155182,155967,1,1.12,426.66666666667,5,8,7,0,1,0,2,42,66,100,100,43,100,100,100,0,-1,0,0,402.33333333333,
standardDeviation,120515_0_2J1,1337077136,5,0,0,null,4532,1,769,0,0,0,7,0,0,15,0,0,0,0,10378,5439,0,0,137,0,0,0,1,0,13526,0,48,0,0,15,0,0,0,0,21,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,
median,120515_0_2J1,1337077136,234,0,0,null,224850,194491,3272,2394,0,3,1337051931,0,0,832,0,0,272,0,159581,325235,0,-1,1643,0,0,0,181896,0,23971,-1,605,0,0,832,155182,155967,1,"1.12",411,5,7,7,0,0,0,3,42,66,100,100,42,100,100,100,0,-1,0,0,389,
average,120501_30_10CB9,1335867780,311.33333333333,0,0,1,250460.33333333,195135.66666667,5341.3333333333,2582.3333333333,0,4,1335842516.6667,0,0,2074.3333333333,0,0,235.66666666667,0,117954.66666667,133858.33333333,0,-1,2632.3333333333,0,0,0,192112.66666667,0,56440,-1,1829.3333333333,0,0,2074.3333333333,167504,168664,1,1.12,520.66666666667,5.3333333333333,10.333333333333,9,0,1.3333333333333,0,2,50,75,100,100,35.333333333333,100,100,100,0,-1,0,0,460.33333333333,
standardDeviation,120501_30_10CB9,1335867780,13,0,0,null,221,8440,299,1054,0,0,5,0,0,898,0,0,0,0,31042,46177,0,0,763,0,0,0,44,0,0,0,26,0,0,898,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,
median,120501_30_10CB9,1335867780,307,0,0,null,250303,189166,5130,1837,0,4,1335842510,0,0,1468,0,0,235,0,137680,162933,0,-1,2125,0,0,0,192080,0,56440,-1,1867,0,0,1468,167504,168664,1,"1.12",527,4,10,9,0,1,0,1,50,75,100,100,35,100,100,100,0,-1,0,0,489,
average,120415_CC_X3T9,1334485213,249,0,0,2,245760,187538,8059,4762,0,6,1334459997,0,0,1030,0,0,274,0,154100,245211.66666667,0,-1,1847.3333333333,0,0,0,174445,0,67981,-1,600,0,0,1030,1485,147822,1,1.12,432.66666666667,9,15,14,0,1,0,2,100,84,100,100,23,100,100,100,98,-1,0,0,399.33333333333,
standardDeviation,120415_CC_X3T9,1334485213,38,0,0,null,0,0,0,0,0,0,7,0,0,125,0,0,0,0,7339,36457,0,0,89,0,0,0,0,0,0,0,848,0,0,125,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,
median,120415_CC_X3T9,1334485213,303,0,0,null,245760,187538,8059,4762,0,6,1334459997,0,0,1110,0,0,274,0,150773,232389,0,-1,1933,0,0,0,174445,0,67981,-1,1800,0,0,1110,1485,147822,1,"1.12",507,9,15,14,0,1,0,2,100,84,100,100,23,100,100,100,98,-1,0,0,452,
average,120401_9N_SVB8,1333275629,239.5,0,0,2,234006.5,191936.5,6311.5,4218,0,5.5,1333250360.5,0,0,1019.5,0,0,262,0,142634,247791.5,0,-1,1882,0,0,0,164260.5,0,67558,-1,950,0,0,1019.5,1429.5,139431,1,1.12,414,8,12,10,0,2,0,2.5,100,77,100,100,32.5,100,100,100,98,-1,0,0,391.5,
standardDeviation,120401_9N_SVB8,1333275629,0,0,0,null,483,483,1215,0,0,0,3,0,0,64,0,0,12,0,4699,20951,0,0,57,0,0,0,483,0,0,0,950,0,0,64,4,493,0,0,4,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,
median,120401_9N_SVB8,1333275629,239,0,0,null,234490,192420,7527,4218,0,6,1333250364,0,0,955,0,0,274,0,137935,268743,0,-1,1939,0,0,0,164744,0,67558,-1,1900,0,0,955,1434,139924,1,"1.12",410,8,14,10,0,4,0,3,100,77,100,100,35,100,100,100,98,-1,0,0,395,
average,120315_0N_QAR3,1331806628,234.66666666667,0,0,1,235155,191861,7236.6666666667,4768,0,6,1331781413.6667,0,0,903,0,0,262.66666666667,0,147176.66666667,290267.33333333,0,-1,1841,0,0,0,162983,0,69468,-1,633.33333333333,0,0,903,1481.3333333333,137597.66666667,1,1.12,430.66666666667,9,13.666666666667,11.666666666667,0,2,0,2,100,81,100,100,28.666666666667,100,100,100,98,-1,0,0,384.66666666667,
standardDeviation,120315_0N_QAR3,1331806628,0,0,0,null,3191,457,1124,0,0,0,7,0,0,68,0,0,13,0,10489,31104,0,0,122,0,0,0,457,0,2644,0,895,0,0,68,13,461,0,0,8,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,16,
median,120315_0N_QAR3,1331806628,236,0,0,null,239633,192185,8035,4768,0,6,1331781404,0,0,936,0,0,272,0,140712,274550,0,-1,1939,0,0,0,163307,0,73208,-1,1900,0,0,936,1472,137924,1,"1.12",442,9,15,13,0,2,0,1,100,83,100,100,26,100,100,100,98,-1,0,0,393,
average,120301_HE_NHRN,1330597042,228.66666666667,0,0,3,231567.33333333,189510.33333333,8472,5401.6666666667,0,6.6666666666667,1330568227,0,0,843,0,0,278,0,156697.66666667,309806.66666667,0,-1,1713.6666666667,0,0,0,160119.33333333,0,68950,-1,233.33333333333,0,0,843,1520.6666666667,135222,1,1.12,412.33333333333,9,14.333333333333,11,0,3.3333333333333,0,2,100,80,100,100,32.333333333333,100,100,100,98,-1,0,0,382.33333333333,
standardDeviation,120301_HE_NHRN,1330597042,1,0,0,null,423,423,381,3,0,0,7,0,0,39,0,0,0,0,10721,19986,0,0,104,0,0,0,423,0,0,0,329,0,0,39,30,424,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
median,120301_HE_NHRN,1330597042,230,0,0,null,231265,189208,8198,5399,0,6,1330568236,0,0,816,0,0,278,0,164134,322880,0,-1,1639,0,0,0,159817,0,68950,-1,700,0,0,816,1499,134922,1,"1.12",404,9,14,11,0,3,0,3,100,80,100,100,32,100,100,100,98,-1,0,0,391,
average,120215_5Z_KTSW,1329331624,245,0,0,3,211999.66666667,186127,6513,3537,0,4.6666666666667,1329302809,0,0,851.33333333333,0,0,283,0,131888.33333333,309856.33333333,0,-1,1856.3333333333,0,0,0,160694.66666667,0,49430,-1,600,0,0,851.33333333333,1438,141464.66666667,1,1.12,396.66666666667,6,11,10,0,1,0,2,100,75,100,100,36,100,100,100,98.666666666667,-1,0,0,368.33333333333,
standardDeviation,120215_5Z_KTSW,1329331624,3,0,0,null,4245,6,8,0,0,0,7,0,0,54,0,0,0,0,7460,30403,0,0,70,0,0,0,4245,0,0,0,848,0,0,54,0,4250,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
median,120215_5Z_KTSW,1329331624,242,0,0,null,205995,186133,6516,3537,0,5,1329302818,0,0,859,0,0,283,0,125683,301674,0,-1,1881,0,0,0,154690,0,49430,-1,1800,0,0,859,1438,135454,1,"1.12",419,6,11,10,0,1,0,3,100,75,100,100,36,100,100,100,98,-1,0,0,360,
average,120201_NM_G52N,1328090956,222.66666666667,0,0,2,228172.33333333,199813,8349.6666666667,5579.3333333333,0,7,1328062140.3333,0,0,933.66666666667,0,0,317,0,150606.33333333,285561,0,-1,1764.3333333333,0,0,0,150776.66666667,0,74773.333333333,-1,633.33333333333,0,0,933.66666666667,1345,127779,1,1.12,405,9.3333333333333,14,11,0,3,0,2,100,80,100,100,31.666666666667,100,100,100,98,-1,0,0,386.66666666667,
standardDeviation,120201_NM_G52N,1328090956,2,0,0,null,16512,3681,622,281,0,0,7,0,0,91,0,0,8,0,15859,34889,0,0,252,0,0,0,2465,0,13960,0,895,0,0,91,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,
median,120201_NM_G52N,1328090956,225,0,0,null,240246,202626,9113,5380,0,7,1328062140,0,0,983,0,0,322,0,141989,267316,0,-1,1917,0,0,0,152729,0,84645,-1,1900,0,0,983,1345,127779,1,"1.12",394,9,15,11,0,4,0,2,100,80,100,100,33,100,100,100,98,-1,0,0,379,
average,120115_MZ_EC54,1326619844,288.66666666667,0,0,2,221480,198164.66666667,7452.6666666667,5990.3333333333,0,6.6666666666667,1326591023,0,0,1617.3333333333,0,0,303,0,100071.33333333,201090.33333333,0,-1,2734.6666666667,0,0,0,156125.66666667,0,62682,-1,633.33333333333,0,0,1617.3333333333,1366,137268.66666667,1,1.12,1001.3333333333,10,12.666666666667,12.333333333333,0,0.33333333333333,0,2,100,80.666666666667,100,100,27.333333333333,100,100,100,98.666666666667,-1,0,0,967.33333333333,
standardDeviation,120115_MZ_EC54,1326619844,44,0,0,null,4291,1575,645,3,0,0,13,0,0,847,0,0,0,0,28669,86320,0,0,865,0,0,0,1858,0,2184,0,895,0,0,847,31,1783,0,0,799,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,796,
median,120115_MZ_EC54,1326619844,257,0,0,null,227548,200393,8366,5995,0,7,1326591027,0,0,1065,0,0,303,0,127979,248011,0,-1,2035,0,0,0,158753,0,65772,-1,1900,0,0,1065,1410,139789,1,"1.12",471,10,14,13,0,1,0,2,100,81,100,100,28,100,100,100,98,-1,0,0,449,
average,120101_QB_CKQX,1325384265,251,0,0,2,242286,207574.5,8356.5,5712.5,0,6.5,1325355436,0,0,1897,0,0,305,0,101254.5,143427,0,-1,2777.5,0,0,0,148041,0,91587.5,-1,1100,0,0,1897,1378,130289.5,1,1.12,947.5,9.5,14,12,0,2,0,2.5,100,81.5,100,100,28.5,100,100,100,98,-1,0,0,936,
standardDeviation,120101_QB_CKQX,1325384265,0,0,0,null,8287,16288,13,298,0,0,4,0,0,518,0,0,0,0,21708,55033,0,0,623,0,0,0,5520,0,2611,0,1100,0,0,518,0,5531,0,0,570,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,567,
median,120101_QB_CKQX,1325384265,251,0,0,null,233999,223863,8370,6011,0,7,1325355440,0,0,1379,0,0,305,0,122963,198460,0,-1,2154,0,0,0,142521,0,88976,-1,2200,0,0,1379,1378,124758,1,"1.12",377,10,14,11,0,3,0,3,100,80,100,100,32,100,100,100,98,-1,0,0,369,
average,111215_ER_AX08,1323982798,249,0,0,2,220617.66666667,199325,7594,5796,0,7,1323953982,0,0,1122.3333333333,0,0,305.33333333333,0,133154,231579.66666667,0,-1,1927.6666666667,0,0,0,145068,0,72711,-1,366.66666666667,0,0,1122.3333333333,1378,124380,1,1.12,618.66666666667,9.6666666666667,13,11.666666666667,0,1.3333333333333,0,2,100,80.333333333333,100,100,28.666666666667,100,100,100,98,-1,0,0,571,
standardDeviation,111215_ER_AX08,1323982798,15,0,0,null,19002,4121,0,281,0,0,8,0,0,100,0,0,8,0,16285,26323,0,0,208,0,0,0,2068,0,17199,0,518,0,0,100,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95,
median,111215_ER_AX08,1323982798,263,0,0,null,206168,196409,7594,5995,0,7,1323953982,0,0,1131,0,0,299,0,149505,226277,0,-1,1642,0,0,0,143122,0,60549,-1,1100,0,0,1131,1378,124380,1,"1.12",556,10,13,11,0,2,0,2,100,80,100,100,30,100,100,100,98,-1,0,0,539,
average,111201_N7_93YZ,1322759011,231,0,0,3,208521.33333333,182323.33333333,5911.3333333333,3544,0,4,1322730197,0,0,921.66666666667,0,0,271,0,131959.66666667,264221,0,-1,1813,0,0,0,152249.33333333,0,54491,-1,533.33333333333,0,0,921.66666666667,1394,134670,1,1.12,385,6,10,9,0,1,0,2,100,73.666666666667,100,100,36.666666666667,100,100,100,98,-1,0,0,375,
standardDeviation,111201_N7_93YZ,1322759011,2,0,0,null,1,1,2,0,0,0,7,0,0,18,0,0,0,0,4515,7908,0,0,55,0,0,0,1,0,0,0,754,0,0,18,0,0,0,0,115,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,108,
median,111201_N7_93YZ,1322759011,229,0,0,null,208522,182324,5913,3544,0,4,1322730206,0,0,913,0,0,271,0,138185,266555,0,-1,1738,0,0,0,152250,0,54491,-1,1600,0,0,913,1394,134670,1,"1.12",304,6,10,9,0,1,0,3,100,71,100,100,40,100,100,100,98,-1,0,0,299,
average,111115_EN_7Y5Q,1321375822,250.33333333333,0,0,2,213500,188261,8395.3333333333,6012.3333333333,0,7,1321346967,0,0,1019,0,0,296,0,130242.33333333,244933.33333333,0,-1,1892.3333333333,0,0,0,144776,0,65701,-1,600,0,0,1019,1249.3333333333,126491,1,1.12,375,10,14,13,0,1,0,2,100,82.333333333333,100,100,26,100,100,100,99,-1,0,0,366.33333333333,
standardDeviation,111115_EN_7Y5Q,1321375822,1,0,0,null,118,118,12,4,0,0,4,0,0,7,0,0,0,0,5275,1960,0,0,67,0,0,0,118,0,0,0,848,0,0,7,1,107,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,
median,111115_EN_7Y5Q,1321375822,250,0,0,null,213668,188429,8412,6019,0,7,1321346967,0,0,1014,0,0,296,0,133626,246634,0,-1,1849,0,0,0,144944,0,65701,-1,1800,0,0,1014,1252,126643,1,"1.12",373,10,14,13,0,1,0,2,100,83,100,100,25,100,100,100,99,-1,0,0,363,
average,111101_S5_6P3M,1320178711,236,0,0,1,220661.66666667,189422.66666667,8433.3333333333,5413.3333333333,0,6.6666666666667,1320153482.3333,0,0,1162.3333333333,0,0,294,0,116375.33333333,208477,0,-1,2142.6666666667,0,0,13489,156360,0,61690,-1,666.66666666667,0,0,1162.3333333333,1202,139273.66666667,1,1.12,655,9,14,11,0,3,0,2,100,79.333333333333,100,100,31.666666666667,100,90.666666666667,100,99,-1,0,0,440.66666666667,
